,Meter identifier,Aerial_info,dc_day,dc_month,dc_week,latitude,longitude
31,M38864,No Aerial,100.0,100.0115741,100.0,-37.612,175.384449
32,M36886,No Aerial,100.0,100.0231481,100.0,-37.612,175.384449
33,M40338,No Aerial,100.0,99.60648148,99.6031746,-37.681768,175.40107
34,M63839,No Aerial,99.65277778,99.59490741,99.50396825,-37.765958,175.113886
35,M15703,No Aerial,100.0,99.98842593,100.0,-37.77815,175.12944
36,M47132,No Aerial,100.0,100.0,100.0,-37.44994,175.090463
37,M26426,No Aerial,100.0,100.0115741,100.0496032,-37.82795414,175.1982712
38,M58640,Aerial Installed - Enabled,100.0,99.96527778,100.0496032,-37.691736,175.149533
39,M15934,No Aerial,92.36111111,97.41898148,97.76785714,-37.830294,175.203406
40,M42329,No Aerial,100.0,100.0231481,100.0496032,-37.83273924,175.2124742
41,M3309,No Aerial,100.0,100.0231481,100.0,-37.83171068,175.2106251
42,M2685,No Aerial,100.0,100.0115741,100.0992063,-37.832777,175.209038
43,M56704,No Aerial,100.0,100.0,100.0,-37.83213268,175.2100718
44,M12178,No Aerial,100.0,100.0,100.0,-37.83447025,175.1966819
45,M64056,No Aerial,100.0,99.4212963,100.0,-37.297879,175.229265
46,M19075,No Aerial,100.0,97.90509259,91.0218254,-37.79497087,175.2036507
